Second,microtesla
123.6,24.402834
123.7,24.656248
123.8,24.565098
123.9,24.565098
124.0,24.293962
124.1,24.18557
124.2,24.138756
124.3,24.138756
124.4,23.997759
124.5,23.889236
124.6,23.889236
124.7,23.931108
124.8,23.932165
124.9,23.932165
125.0,24.592367
125.1,24.691391
125.2,24.691391
125.3,24.85561
125.4,24.792595
125.5,24.792595
125.6,24.817001
125.7,24.844114
125.8,24.844114
125.9,25.039362
126.0,25.50473
126.1,25.50473
126.2,25.706526
126.3,25.744568
126.4,25.744568
126.5,25.678276
126.6,25.645475
126.7,25.645475
126.8,25.797512
126.9,25.30896
127.0,25.30896
127.1,25.24157
127.2,25.07594
127.3,25.07594
127.4,24.96861
127.5,24.84135
127.6,24.84135
127.7,24.698778
127.8,24.622166
127.9,24.622166
128.0,24.727854
128.1,24.741163
128.2,24.741163
128.3,24.633934
128.4,24.474876
128.5,24.474876
128.6,24.508924
128.7,24.605593
128.8,24.605593
128.9,24.72358
129.0,24.894943
129.1,24.894943
129.2,24.815878
129.3,24.781807
129.4,24.781807
129.5,24.647305
129.6,24.842886
129.7,24.842886
129.8,24.867432
129.9,25.017622
130.0,25.017622
130.1,25.141073
130.2,25.260227
130.3,25.260227
130.4,25.236158
130.5,25.19465
130.6,25.19465
130.7,25.125372
130.8,25.058998
130.9,25.058998
131.0,24.782358
131.1,24.670748
131.2,24.670748
131.3,24.592108
131.4,24.74779
131.5,24.74779
131.6,24.86663
131.7,25.195736
131.8,25.195736
131.9,25.345592
132.0,25.450579
132.1,25.450579
132.2,25.39283
132.3,25.288773
132.4,25.288773
132.5,25.071972
132.6,24.905336
132.7,24.905336
132.8,24.905336
132.9,24.383972
133.0,24.383972
133.1,24.255972
133.2,24.23238
133.3,24.23238
133.4,24.400862
133.5,24.333723
133.6,24.333723
133.7,24.333723
133.8,24.152319
133.9,24.152319
134.0,24.077547
134.1,24.016743
134.2,24.016743
134.3,24.086788
134.4,23.978453
134.5,23.978453
134.6,24.080774
134.7,23.831385
134.8,23.831385
134.9,23.914307
135.0,23.785267
135.1,23.73925
135.2,23.73925
135.3,23.846394
135.4,23.846394
135.5,23.776854
135.6,23.335651
135.7,23.335651
135.8,23.335651
135.9,22.790718
136.0,22.790718
136.1,22.627254
136.2,22.826706
136.3,22.826706
136.4,22.952156
136.5,22.993273
136.6,22.993273
136.7,22.964739
136.8,22.973366
136.9,22.973366
137.0,23.093447
137.1,22.880686
137.2,22.880686
137.3,22.635677
137.4,22.612999
137.5,22.612999
137.6,22.673931
137.7,22.709343
137.8,22.709343
137.9,22.880415
138.0,23.082726
138.1,23.082726
138.2,23.632494
138.3,23.673584
138.4,23.673584
138.5,23.674736
138.6,23.702782
138.7,23.702782
138.8,23.47115
138.9,23.484964
139.0,23.484964
139.1,23.389885
139.2,23.180151
139.3,23.180151
139.4,23.047735
139.5,22.974089
139.6,22.974089
139.7,23.136717
139.8,23.136717
139.9,23.136717
140.0,23.095753
140.1,23.159172
140.2,23.159172
140.3,23.411533
140.4,23.411533
140.5,23.411533
140.6,23.346455
140.7,23.1673
140.8,23.1673
140.9,22.937445
141.0,22.7411
141.1,22.7411
141.2,23.04874
141.3,23.04874
141.4,23.04874
141.5,23.51408
141.6,23.234701
141.7,23.234701
141.8,22.862091
141.9,22.862091
142.0,22.862091
142.1,23.148623
142.2,23.383377
142.3,23.383377
142.4,23.538477
142.5,23.538477
142.6,23.538477
142.7,23.881456
142.8,24.096375
142.9,24.096375
143.0,24.237179
143.1,24.192621
143.2,24.192621
143.3,23.941881
143.4,23.941881
143.5,23.941881
143.6,23.86264
143.7,23.855942
143.8,23.855942
143.9,23.44691
144.0,23.44691
144.1,23.44691
144.2,22.591112
144.3,22.591112
144.4,22.591112
144.5,22.350609
144.6,22.350609
144.7,22.350609
144.8,22.576952
144.9,22.576952
145.0,22.576952
145.1,22.91584
145.2,22.926537
145.3,22.926537
145.4,23.208427
145.5,23.208427
145.6,23.208427
145.7,23.33152
145.8,23.33152
145.9,23.33152
146.0,23.179607
146.1,23.179607
146.2,23.179607
146.3,23.242773
146.4,23.242773
146.5,23.242773
146.6,22.946287
146.7,22.946287
146.8,22.946287
146.9,22.689573
147.0,22.689573
147.1,22.689573
147.2,22.825493
147.3,22.825493
147.4,22.825493
147.5,22.749063
147.6,22.749063
147.7,22.749063
147.8,22.743929
147.9,22.743929
148.0,22.743929
148.1,22.345228
148.2,22.345228
148.3,22.345228
148.4,22.259594
148.5,22.259594
148.6,22.259594
148.7,22.728792
148.8,22.728792
148.9,22.761362
149.0,22.672775
149.1,22.672775
149.2,22.672775
149.3,22.942698
149.4,22.942698
149.5,23.057215
149.6,22.7201
149.7,22.7201
149.8,22.62168
149.9,22.564314
150.0,22.564314
150.1,22.451693
150.2,22.109682
150.3,22.109682
150.4,21.734722
150.5,21.362366
150.6,21.362366
150.7,21.650406
150.8,22.080128
150.9,22.080128
151.0,22.156937
151.1,21.954338
151.2,21.954338
151.3,21.351944
151.4,20.837004
151.5,20.837004
151.6,20.357038
151.7,20.501913
151.8,20.501913
